Speaker,Line,NLTK
BRONN,Oil?,['oil']
GUARD,"Pitch, my lord.","['pitch', 'lord']"
BRONN,How many barrels?,"['mani', 'barrel']"
GUARD,"500, my lord.","['500', 'lord']"
BRONN,Get 500 more.,"['get', '500']"
GUARD,"Yes, my lord.","['ye', 'lord']"
BRONN,"I still enjoy it when they call me ""my lord.""","['still', 'enjoy', 'call', 'lord']"
JAIME,The thrill will fade.,"['thrill', 'fade']"
BRONN,If we live that long. Men without cocks. You wouldn't find me fighting in an army if I had no cock. What's left to fight for?,"['live', 'long', 'men', 'without', 'cock', 'wouldnt', 'find', 'fight', 'armi', 'cock', 'what', 'left', 'fight']"
JAIME,Gold?,['gold']
BRONN,I spent my life around soldiers. What do you think they spend that gold on?,"['spent', 'life', 'around', 'soldier', 'think', 'spend', 'gold']"
JAIME,Family.,['famili']
BRONN,"Not without a cock, you don't.","['without', 'cock', 'dont']"
JAIME,Maybe it really is all cocks in the end.,"['mayb', 'realli', 'cock', 'end']"
BRONN,"Yet, your brother has chosen to side with the cockless.","['yet', 'brother', 'chosen', 'side', 'cockless']"
JAIME,"Yes, he's always been a champion of the downtrodden.","['ye', 'he', 'alway', 'champion', 'downtrodden']"
SOUND EFFECT,(TRUMPET BLARES) - (DISTANT MEN SHRIEKING) - (HOOFBEATS THUNDERING) (SHRIEKING CONTINUES),"['trumpet', 'blare', 'distant', 'men', 'shriek', 'hoofbeat', 'thunder', 'shriek', 'continu']"
BRONN,I think we're about to be the downtrodden.,"['think', 'downtrodden']"
MAN,"Archers, stand tall!","['archer', 'stand', 'tall']"
SOUND EFFECT,(HORSES NEIGHING),"['hors', 'neigh']"
MAN #2,Cover that wall!,"['cover', 'wall']"
SOUND EFFECT,(SEAGULLS SCREECHING),"['seagul', 'screech']"
JON,How many people live here?,"['mani', 'peopl', 'live']"
TYRION,"A million, give or take.","['million', 'give', 'take']"
JON,That's more people than the entire North crammed into that. Why would anyone want to live that way?,"['that', 'peopl', 'entir', 'north', 'cram', 'would', 'anyon', 'want', 'live', 'way']"
TYRION,There's more work in the city. And the brothels are far superior.,"['there', 'work', 'citi', 'brothel', 'far', 'superior']"
SOUND EFFECT,(WIGHT SCREECHING) (SEAGULLS SCREECHING),"['wight', 'screech', 'seagul', 'screech']"
CERSEI,Why isn't she with them?,['isnt']
QYBURN,"I'm afraid I don't know, Your Grace. No one has seen her.","['im', 'afraid', 'dont', 'know', 'grace', 'one', 'seen']"
CERSEI,And the rest of them?,['rest']
QYBURN,They're on their way to the Dragonpit now.,"['theyr', 'way', 'dragonpit']"
CERSEI,Including our brother?,"['includ', 'brother']"
QYBURN,"Yes, Your Grace.","['ye', 'grace']"
CERSEI,"If anything goes wrong, kill the silver-haired bitch first, then our brother, then the bastard who calls himself king. The rest of them you can kill in any order you see fit. Come, Sir Gregor. It's time for us to meet our guests.","['anyth', 'goe', 'wrong', 'kill', 'silverhair', 'bitch', 'first', 'brother', 'bastard', 'call', 'king', 'rest', 'kill', 'order', 'see', 'fit', 'come', 'sir', 'gregor', 'time', 'us', 'meet', 'guest']"
SOUND EFFECT,(DONKEY BRAYING),"['donkey', 'bray']"
MISSANDEI,Why did they build it?,['build']
JORAH,"Dragons don't understand the difference between what is theirs and what isn't. Land, livestock, children Letting them roam free around a city was a problem.","['dragon', 'dont', 'understand', 'differ', 'isnt', 'land', 'livestock', 'children', 'let', 'roam', 'free', 'around', 'citi', 'problem']"
TYRION,"I imagine it was a sad joke at the end. An entire arena for a few sickly creatures smaller than dogs. But in the beginning, when it was home to Balerion the Dread, it must have been the most dangerous place in the world.","['imagin', 'sad', 'joke', 'end', 'entir', 'arena', 'sickli', 'creatur', 'smaller', 'dog', 'begin', 'home', 'balerion', 'dread', 'must', 'danger', 'place', 'world']"
DAVOS,Maybe it still is.,"['mayb', 'still']"
BRONN,"Welcome, my lords. Your friends arrived before you did. I've been sent to escort you all to the meeting.","['welcom', 'lord', 'friend', 'arriv', 'ive', 'sent', 'escort', 'meet']"
TYRION,A pleasant surprise in an unpleasant situation.,"['pleasant', 'surpris', 'unpleas', 'situat']"
PODRICK,"I never thought I'd see you again, my lord.","['never', 'thought', 'id', 'see', 'lord']"
TYRION,"Supporting the enemy, no less.","['support', 'enemi', 'less']"
PODRICK,Hard to blame you.,"['hard', 'blame']"
TYRION,Cersei will anyway.,"['cersei', 'anyway']"
PODRICK,I'm glad you're alive.,"['im', 'glad', 'your', 'aliv']"
BRONN,Come on! You can suck his magic cock later.,"['come', 'suck', 'magic', 'cock', 'later']"
MAN,What's in there?,['what']
HOUND,Fuck off.,['fuck']
BRIENNE,I thought you were dead.,"['thought', 'dead']"
HOUND,Not yet. You came pretty close.,"['yet', 'came', 'pretti', 'close']"
BRIENNE,I was only trying to protect her.,"['tri', 'protect']"
HOUND,You and me both.,[]
BRIENNE,She's alive. Arya.,"['she', 'aliv', 'arya']"
HOUND,Where?,[]
BRIENNE,Winterfell.,['winterfel']
HOUND,Who's protecting her if you're here?,"['who', 'protect', 'your']"
BRIENNE,The only one that needs protecting is the one that gets in her way.,"['one', 'need', 'protect', 'one', 'get', 'way']"
HOUND,It won't be me.,['wont']
TYRION,Here we are the heroes of Blackwater Bay. Strange place for a reunion.,"['hero', 'blackwat', 'bay', 'strang', 'place', 'reunion']"
PODRICK,"It is, my lord.",['lord']
TYRION,"I don't think I'm anyone's lord anymore, Podrick. Save the titles for Ser Bronn of the Blackwater.","['dont', 'think', 'im', 'anyon', 'lord', 'anymor', 'podrick', 'save', 'titl', 'ser', 'bronn', 'blackwat']"
BRONN,I'm sure your new queen will be happy to restore yours if she ends up on the throne.,"['im', 'sure', 'new', 'queen', 'happi', 'restor', 'end', 'throne']"
TYRION,"You've been thinking about our new queen? Perhaps you've been reconsidering your allegiances. Remember my offer whatever they're paying you, I'll pay double.","['youv', 'think', 'new', 'queen', 'perhap', 'youv', 'reconsid', 'allegi', 'rememb', 'offer', 'whatev', 'theyr', 'pay', 'ill', 'pay', 'doubl']"
VARYS,"And that would be double what now, exactly?","['would', 'doubl', 'exactli']"
BRONN,Don't you worry about me. I'm doing all right. Looking after myself.,"['dont', 'worri', 'im', 'right', 'look']"
TYRION,"Are you? Helping me to arrange this meeting wasn't exactly looking after yourself, was it? You put yourself at risk.","['help', 'arrang', 'meet', 'wasnt', 'exactli', 'look', 'put', 'risk']"
BRONN,"I put yourself at risk. Important difference. It's your head Queen Cersei's offered a bag of gold for, it's not mine. Now, thanks to me, she's got two traitors' heads coming right through her door. She can lop them both off as soon as she gets tired of the clever words that pour out their pieholes. All thanks to Ser Bronn of the fucking Blackwater. If that's not looking after myself, I don't know what is.","['put', 'risk', 'import', 'differ', 'head', 'queen', 'cersei', 'offer', 'bag', 'gold', 'mine', 'thank', 'she', 'got', 'two', 'traitor', 'head', 'come', 'right', 'door', 'lop', 'soon', 'get', 'tire', 'clever', 'word', 'pour', 'piehol', 'thank', 'ser', 'bronn', 'fuck', 'blackwat', 'that', 'look', 'dont', 'know']"
TYRION,It's good to see you again.,"['good', 'see']"
BRONN,"Yeah, you, too.",['yeah']
HOUND,"Anyone touches it, I'll kill you first.","['anyon', 'touch', 'ill', 'kill', 'first']"
BRONN,"Come on, Pod. Let's you and me go have a drink while the fancy folks talk, eh?","['come', 'pod', 'let', 'go', 'drink', 'fanci', 'folk', 'talk', 'eh']"
HOUND,I left this shit city because I didn't want to die in it. Am I going to die in this shit city?,"['left', 'shit', 'citi', 'didnt', 'want', 'die', 'go', 'die', 'shit', 'citi']"
TYRION,You might.,['might']
HOUND,And this is all your idea. Seems every bad idea has some Lannister cunt behind it.,"['idea', 'seem', 'everi', 'bad', 'idea', 'lannist', 'cunt', 'behind']"
TYRION,And some Clegane cunt to help them see it through.,"['clegan', 'cunt', 'help', 'see']"
SOUND EFFECT,(FOOTSTEPS APPROACH),"['footstep', 'approach']"
HOUND,"Remember me? Yeah, you do. You're even fucking uglier than I am now. What did they do to you? Doesn't matter. That's not how it ends for you, brother. You know who's coming for you. You've always known.","['rememb', 'yeah', 'your', 'even', 'fuck', 'uglier', 'doesnt', 'matter', 'that', 'end', 'brother', 'know', 'who', 'come', 'youv', 'alway', 'known']"
CERSEI,Where is she?,[]
TYRION,She'll be here soon.,"['shell', 'soon']"
CERSEI,Didn't travel with you?,"['didnt', 'travel']"
TYRION,No.,[]
SOUND EFFECT,(DRAGONS SCREECHING) - (SCREECHING) - (WINGS FLAPPING) (ROARING) (ROARING),"['dragon', 'screech', 'screech', 'wing', 'flap', 'roar', 'roar']"
CERSEI,We've been here for some time.,"['weve', 'time']"
DAENERYS,My apologies.,['apolog']
TYRION,We are all facing a unique,"['face', 'uniqu']"
EURON,"Theon! I have your sister. If you don't submit to me here, now I'll kill her.","['theon', 'sister', 'dont', 'submit', 'ill', 'kill']"
TYRION,I think we ought to begin with larger concerns.,"['think', 'ought', 'begin', 'larger', 'concern']"
EURON,Then why are you talking? You're the smallest concern here.,"['talk', 'your', 'smallest', 'concern']"
TYRION,Do you remember when we discussed dwarf jokes?,"['rememb', 'discuss', 'dwarf', 'joke']"
THEON,His wasn't even good.,"['wasnt', 'even', 'good']"
TYRION,He explained it at the end. Never explain. It always ruins it.,"['explain', 'end', 'never', 'explain', 'alway', 'ruin']"
EURON,"We don't even let your kind live in the Iron Islands, you know? We kill you at birth. An act of mercy for the parents.","['dont', 'even', 'let', 'kind', 'live', 'iron', 'island', 'know', 'kill', 'birth', 'act', 'merci', 'parent']"
JAIME,Perhaps you ought to sit down.,"['perhap', 'ought', 'sit']"
EURON,Why?,[]
CERSEI,Sit down or leave.,"['sit', 'leav']"
SOUND EFFECT,(LAUGHING),['laugh']
TYRION,"We are a group of people who do not like one another, as this recent demonstration has shown. We have suffered at each other's hands. We have lost people we love at each other's hands. If all we wanted was more of the same, there would be no need for this gathering. We are entirely capable of waging war against each other without meeting face-to-face.","['group', 'peopl', 'like', 'one', 'anoth', 'recent', 'demonstr', 'shown', 'suffer', 'other', 'hand', 'lost', 'peopl', 'love', 'other', 'hand', 'want', 'would', 'need', 'gather', 'entir', 'capabl', 'wage', 'war', 'without', 'meet', 'facetofac']"
CERSEI,"So instead, we should settle our differences and live together in harmony for the rest of our days?","['instead', 'settl', 'differ', 'live', 'togeth', 'harmoni', 'rest', 'day']"
TYRION,We all know that will never happen.,"['know', 'never', 'happen']"
CERSEI,Then why are we here?,[]
JON,This isn't about living in harmony. It's just about living. The same thing is coming for all of us. A general you can't negotiate with. An army that doesn't leave corpses behind on the battlefield. Lord Tyrion tells me a million people live in this city. They're about to become a million more soldiers in the Army of the Dead.,"['isnt', 'live', 'harmoni', 'live', 'thing', 'come', 'us', 'gener', 'cant', 'negoti', 'armi', 'doesnt', 'leav', 'corps', 'behind', 'battlefield', 'lord', 'tyrion', 'tell', 'million', 'peopl', 'live', 'citi', 'theyr', 'becom', 'million', 'soldier', 'armi', 'dead']"
CERSEI,I imagine for most of them it would be an improvement.,"['imagin', 'would', 'improv']"
JON,This is serious. I wouldn't be here if it weren't.,"['seriou', 'wouldnt', 'werent']"
CERSEI,"I don't think it's serious at all. I think it's another bad joke. If my brother Jaime has informed me correctly, you're asking me for a truce.","['dont', 'think', 'seriou', 'think', 'anoth', 'bad', 'joke', 'brother', 'jaim', 'inform', 'correctli', 'your', 'ask', 'truce']"
DAENERYS,Yes. That's all.,"['ye', 'that']"
CERSEI,That's all? Pull back my armies and stand down while you go on your monster hunt. Or while you solidify and expand your position. Hard for me to know which it is with my armies pulled back until you return and march on my capital with four times the men.,"['that', 'pull', 'back', 'armi', 'stand', 'go', 'monster', 'hunt', 'solidifi', 'expand', 'posit', 'hard', 'know', 'armi', 'pull', 'back', 'return', 'march', 'capit', 'four', 'time', 'men']"
DAENERYS,Your capital will be safe until the northern threat is dealt with. You have my word.,"['capit', 'safe', 'northern', 'threat', 'dealt', 'word']"
CERSEI,The word of a would-be usurper.,"['word', 'wouldb', 'usurp']"
TYRION,There is no conversation that will erase the last 50 years. We have something to show you.,"['convers', 'eras', 'last', '50', 'year', 'someth', 'show']"
SOUND EFFECT,(CHAINS RATTLING) (BOX THUDS) (SCREECHING) (GRUNTS) (SCREECHING),"['chain', 'rattl', 'box', 'thud', 'screech', 'grunt', 'screech']"
JON,We can destroy them by burning them.,"['destroy', 'burn']"
SOUND EFFECT,(SCREECHING),['screech']
JON,"And we can destroy them with dragonglass. If we don't win this fight, then that is the fate of every person in the world.","['destroy', 'dragonglass', 'dont', 'win', 'fight', 'fate', 'everi', 'person', 'world']"
SOUND EFFECT,(GRUNTS),['grunt']
JON,There is only one war that matters the Great War. And it is here.,"['one', 'war', 'matter', 'great', 'war']"
DAENERYS,I didn't believe it until I saw them. I saw them all.,"['didnt', 'believ', 'saw', 'saw']"
JAIME,How many?,['mani']
DAENERYS,"A hundred thousand, at least.","['hundr', 'thousand', 'least']"
EURON,Can they swim?,['swim']
JON,No.,[]
EURON,Good.,['good']
EURON,I'm taking the Iron Fleet back to the Iron Islands.,"['im', 'take', 'iron', 'fleet', 'back', 'iron', 'island']"
CERSEI,What are you talking about?,['talk']
EURON,"I've been around the world. I've seen everything, things you couldn't imagine, and this this is the only thing I've ever seen that terrifies me. I'm going back to my island. You should go back to yours. When winter's over, we'll be the only ones left alive.","['ive', 'around', 'world', 'ive', 'seen', 'everyth', 'thing', 'couldnt', 'imagin', 'thing', 'ive', 'ever', 'seen', 'terrifi', 'im', 'go', 'back', 'island', 'go', 'back', 'winter', 'well', 'one', 'left', 'aliv']"
CERSEI,"He's right to be afraid. And a coward to run. If those things come for us, there will be no kingdoms to rule. Everything we suffered will have been for nothing. Everything we lost will have been for nothing. The crown accepts your truce. Until the dead are defeated, they are the true enemy.","['he', 'right', 'afraid', 'coward', 'run', 'thing', 'come', 'us', 'kingdom', 'rule', 'everyth', 'suffer', 'noth', 'everyth', 'lost', 'noth', 'crown', 'accept', 'truce', 'dead', 'defeat', 'true', 'enemi']"
SOUND EFFECT,(SIGHS),['sigh']
CERSEI,"In return, the King in the North will extend this truce. He will remain in the North where he belongs. He will not take up arms against the Lannisters. He will not choose sides.","['return', 'king', 'north', 'extend', 'truce', 'remain', 'north', 'belong', 'take', 'arm', 'lannist', 'choos', 'side']"
DAENERYS,Just the King in the North? - Not me? -,"['king', 'north']"
CERSEI,"I would never ask it of you. You would never agree to it. And if you did, I would trust you even less than I do now. I ask it only of Ned Stark's son. I know Ned Stark's son will be true to his word.","['would', 'never', 'ask', 'would', 'never', 'agre', 'would', 'trust', 'even', 'less', 'ask', 'ned', 'stark', 'son', 'know', 'ned', 'stark', 'son', 'true', 'word']"
JON,I am true to my word. Or I try to be. That is why I cannot give you what you ask. I cannot serve two queens. And I have already pledged myself to Queen Daenerys of House Targaryen.,"['true', 'word', 'tri', 'give', 'ask', 'serv', 'two', 'queen', 'alreadi', 'pledg', 'queen', 'daeneri', 'hous', 'targaryen']"
CERSEI,Then there is nothing left to discuss. The dead will come north first. Enjoy dealing with them. We will deal with whatever is left of you.,"['noth', 'left', 'discuss', 'dead', 'come', 'north', 'first', 'enjoy', 'deal', 'deal', 'whatev', 'left']"
BRIENNE,Ser Jaime.,"['ser', 'jaim']"
JAIME,It's been good to see you. I imagine the next time will be across a battlefield.,"['good', 'see', 'imagin', 'next', 'time', 'across', 'battlefield']"
BRIENNE,We both saw what just happened. We both saw that thing.,"['saw', 'happen', 'saw', 'thing']"
JAIME,"Yes, and I'm not looking forward to seeing more of them. But I'm loyal to the queen, and you're loyal to Sansa and her dolt brother.","['ye', 'im', 'look', 'forward', 'see', 'im', 'loyal', 'queen', 'your', 'loyal', 'sansa', 'dolt', 'brother']"
BRIENNE,"Oh, fuck loyalty!","['oh', 'fuck', 'loyalti']"
JAIME,Fuck loyalty? This goes beyond houses and honor and oaths. Talk to the queen.,"['fuck', 'loyalti', 'goe', 'beyond', 'hous', 'honor', 'oath', 'talk', 'queen']"
JAIME,And tell her what?,['tell']
DAVOS,I wish you hadn't done that.,"['wish', 'hadnt', 'done']"
DAENERYS,"I'm grateful for your loyalty, but my dragon died so that we could be here. If it's all for nothing, then he died for nothing.","['im', 'grate', 'loyalti', 'dragon', 'die', 'could', 'noth', 'die', 'noth']"
JON,I know!,['know']
TYRION,"I'm pleased you bent the knee to our queen. I would have advised it, had you asked. But have you ever considered learning how to lie every now and then? Just a bit?","['im', 'pleas', 'bent', 'knee', 'queen', 'would', 'advis', 'ask', 'ever', 'consid', 'learn', 'lie', 'everi', 'bit']"
JON,"I'm not going to swear an oath I can't uphold. Talk about my father if you want, tell me that's the attitude that got him killed. But when enough people make false promises, words stop meaning anything. Then there are no more answers, only better and better lies. And lies won't help us in this fight.","['im', 'go', 'swear', 'oath', 'cant', 'uphold', 'talk', 'father', 'want', 'tell', 'that', 'attitud', 'got', 'kill', 'enough', 'peopl', 'make', 'fals', 'promis', 'word', 'stop', 'mean', 'anyth', 'answer', 'better', 'better', 'lie', 'lie', 'wont', 'help', 'us', 'fight']"
TYRION,That is indeed a problem. The more immediate problem is that we're fucked.,"['inde', 'problem', 'immedi', 'problem', 'fuck']"
DAVOS,Any ideas as to how we might change that state of affairs?,"['idea', 'might', 'chang', 'state', 'affair']"
TYRION,"Only one. Everyone stays here, and I go and talk to my sister.","['one', 'everyon', 'stay', 'go', 'talk', 'sister']"
DAENERYS,I didn't come all this way to have my Hand murdered.,"['didnt', 'come', 'way', 'hand', 'murder']"
TYRION,I don't want Cersei to murder me either. I could have stayed in my cell and saved a great deal of trouble.,"['dont', 'want', 'cersei', 'murder', 'either', 'could', 'stay', 'cell', 'save', 'great', 'deal', 'troubl']"
JON,I did this. I should go.,['go']
TYRION,She'll definitely murder you. I go see my sister alone. Or we all go home and we're right back where we started.,"['shell', 'definit', 'murder', 'go', 'see', 'sister', 'alon', 'go', 'home', 'right', 'back', 'start']"
TYRION,You spoke with her?,['spoke']
