Speaker,Line,NLTK
HARRAG,Stay down or I'll kill you! (GRUNTS) I said stay down or I'll kill you! (SHOUTING) (GRUNTING) (GRUNTS) (SHOUTS) (GRUNTING) (PANTS),"['stay', 'ill', 'kill', 'grunt', 'said', 'stay', 'ill', 'kill', 'shout', 'grunt', 'grunt', 'shout', 'grunt', 'pant']"
THEON,Not for me. For Yara!,['yara']
MEN,Yara!,['yara']
SANSA,Have my sister brought to the Great Hall.,"['sister', 'brought', 'great', 'hall']"
ARYA,Are you sure you want to do this?,"['sure', 'want']"
SANSA,It's not what I want. It's what honor demands.,"['want', 'honor', 'demand']"
ARYA,And what does honor demand?,"['honor', 'demand']"
SANSA,That I defend my family from those who would harm us. That I defend the North from those who would betray us.,"['defend', 'famili', 'would', 'harm', 'us', 'defend', 'north', 'would', 'betray', 'us']"
ARYA,"All right, then. Get on with it.","['right', 'get']"
SANSA,You stand accused of murder. You stand accused of treason. How do you answer these charges Lord Baelish?,"['stand', 'accus', 'murder', 'stand', 'accus', 'treason', 'answer', 'charg', 'lord', 'baelish']"
ARYA,My sister asked you a question.,"['sister', 'ask', 'question']"
LITTLEFINGER,"Lady Sansa, forgive me I'm a bit confused.","['ladi', 'sansa', 'forgiv', 'im', 'bit', 'confus']"
SANSA,"Which charges confuse you? Let's start with the simplest one you murdered our aunt, Lysa Arryn. You pushed her through the Moon Door and watched her fall. Do you deny it?","['charg', 'confus', 'let', 'start', 'simplest', 'one', 'murder', 'aunt', 'lysa', 'arryn', 'push', 'moon', 'door', 'watch', 'fall', 'deni']"
LITTLEFINGER,I did it to protect you.,['protect']
SANSA,"You did it to take power in the Vale. Earlier, you conspired to murder Jon Arryn. You gave Lysa Tears of Lys to poison him. Do you deny it?","['take', 'power', 'vale', 'earlier', 'conspir', 'murder', 'jon', 'arryn', 'gave', 'lysa', 'tear', 'ly', 'poison', 'deni']"
LITTLEFINGER,Whatever your aunt might have told you she was a troubled woman. She imagined enemies everywhere.,"['whatev', 'aunt', 'might', 'told', 'troubl', 'woman', 'imagin', 'enemi', 'everywher']"
SANSA,"You had Aunt Lysa send a letter to our parents telling them it was the Lannisters who murdered Jon Arryn when, really, it was you. The conflict between the Starks and the Lannisters, it was you who started it. Do you deny it?","['aunt', 'lysa', 'send', 'letter', 'parent', 'tell', 'lannist', 'murder', 'jon', 'arryn', 'realli', 'conflict', 'stark', 'lannist', 'start', 'deni']"
LITTLEFINGER,I know of no such letter.,"['know', 'letter']"
SANSA,"You conspired with Cersei Lannister and Joffrey Baratheon to betray our father, Ned Stark. Thanks to your treachery, he was imprisoned and later executed on false charges of treason. Do you deny it?","['conspir', 'cersei', 'lannist', 'joffrey', 'baratheon', 'betray', 'father', 'ned', 'stark', 'thank', 'treacheri', 'imprison', 'later', 'execut', 'fals', 'charg', 'treason', 'deni']"
LITTLEFINGER,I deny it! None of you were there to see what happened. None of you knows the truth.,"['deni', 'none', 'see', 'happen', 'none', 'know', 'truth']"
BRAN,"You held a knife to his throat. You said, ""I did warn you not the trust me.""","['held', 'knife', 'throat', 'said', 'warn', 'trust']"
ARYA,You told our mother this knife belonged to Tyrion Lannister. But that was another one of your lies. It was yours.,"['told', 'mother', 'knife', 'belong', 'tyrion', 'lannist', 'anoth', 'one', 'lie']"
LITTLEFINGER,"Lady Sansa, I have known you since you were a girl. I've protected you.","['ladi', 'sansa', 'known', 'sinc', 'girl', 'ive', 'protect']"
SANSA,Protected me? By selling me to the Boltons?,"['protect', 'sell', 'bolton']"
LITTLEFINGER,"If we could speak alone, I can explain everything.","['could', 'speak', 'alon', 'explain', 'everyth']"
SANSA,"Sometimes when I'm trying to understand a person's motives, I play a little game. I assume the worst. What's the worst reason you have for turning me against my sister? That's what you do, isn't it? That's what you've always done turn family against family, turn sister against sister. That's what you did to our mother and Aunt Lysa, and that's what you tried to do to us.","['sometim', 'im', 'tri', 'understand', 'person', 'motiv', 'play', 'littl', 'game', 'assum', 'worst', 'what', 'worst', 'reason', 'turn', 'sister', 'that', 'isnt', 'that', 'youv', 'alway', 'done', 'turn', 'famili', 'famili', 'turn', 'sister', 'sister', 'that', 'mother', 'aunt', 'lysa', 'that', 'tri', 'us']"
LITTLEFINGER,"Sansa, please.","['sansa', 'pleas']"
SANSA,"I'm a slow learner, it's true. But I learn.","['im', 'slow', 'learner', 'true', 'learn']"
LITTLEFINGER,Give me a chance to defend myself. I deserve that. I am Lord Protector of the Vale and I command you to escort me safely back to the Eyrie.,"['give', 'chanc', 'defend', 'deserv', 'lord', 'protector', 'vale', 'command', 'escort', 'safe', 'back', 'eyri']"
YOHN,I think not.,['think']
LITTLEFINGER,"Sansa, I beg you! I loved your mother since the time I was a boy.","['sansa', 'beg', 'love', 'mother', 'sinc', 'time', 'boy']"
SANSA,"And yet, you betrayed her.","['yet', 'betray']"
LITTLEFINGER,I loved you. More than anyone.,"['love', 'anyon']"
SANSA,"And yet, you betrayed me. When you brought me back to Winterfell, you told me there's no justice in the world, not unless we make it. Thank you for all your many lessons, Lord Baelish. I will never forget them.","['yet', 'betray', 'brought', 'back', 'winterfel', 'told', 'there', 'justic', 'world', 'unless', 'make', 'thank', 'mani', 'lesson', 'lord', 'baelish', 'never', 'forget']"
LITTLEFINGER,Sansa! (GASPS) I,"['sansa', 'gasp']"
JAIME,Our men in King's Landing will march north in three days' time.,"['men', 'king', 'land', 'march', 'north', 'three', 'day', 'time']"
MAN,It'll take us a fortnight just to gather supplies for the train.,"['itll', 'take', 'us', 'fortnight', 'gather', 'suppli', 'train']"
JAIME,"We don't have a fortnight. If the North falls, we fall. Three days. The remaining forces in the Westerlands will take the river road east. We'll meet at Lord Harroway's Town and march together to Winterfell.","['dont', 'fortnight', 'north', 'fall', 'fall', 'three', 'day', 'remain', 'forc', 'westerland', 'take', 'river', 'road', 'east', 'well', 'meet', 'lord', 'harroway', 'town', 'march', 'togeth', 'winterfel']"
CERSEI,Ser Jaime.,"['ser', 'jaim']"
JAIME,Your Grace.,['grace']
CERSEI,"My lords, I need a moment with my brother.","['lord', 'need', 'moment', 'brother']"
MEN,Your Grace.,['grace']
CERSEI,What are you doing?,[]
JAIME,Preparing the expedition north.,"['prepar', 'expedit', 'north']"
CERSEI,"Expedition north? I always knew you were the stupidest Lannister. The Starks and Targaryens have united against us, and you want to fight alongside them? Are you a traitor or an idiot?","['expedit', 'north', 'alway', 'knew', 'stupidest', 'lannist', 'stark', 'targaryen', 'unit', 'us', 'want', 'fight', 'alongsid', 'traitor', 'idiot']"
JAIME,You pledged our forces to fight our common enemy,"['pledg', 'forc', 'fight', 'common', 'enemi']"
CERSEI,"I'll say whatever I need to say to ensure the survival of our house. You expect me to trust the man who murdered our father? You expect me to command our troops to fight beside foreign scum, to fight for the Dragon Queen?","['ill', 'say', 'whatev', 'need', 'say', 'ensur', 'surviv', 'hous', 'expect', 'trust', 'man', 'murder', 'father', 'expect', 'command', 'troop', 'fight', 'besid', 'foreign', 'scum', 'fight', 'dragon', 'queen']"
JAIME,You saw it with your own eyes. You saw a dead man trying to kill us.,"['saw', 'eye', 'saw', 'dead', 'man', 'tri', 'kill', 'us']"
CERSEI,"I saw it burn. If dragons can't stop them, if Dothraki and Unsullied and Northmen can't stop them, how will our armies make a difference?","['saw', 'burn', 'dragon', 'cant', 'stop', 'dothraki', 'unsulli', 'northmen', 'cant', 'stop', 'armi', 'make', 'differ']"
JAIME,"This isn't about noble houses, this is about the living and the dead!","['isnt', 'nobl', 'hous', 'live', 'dead']"
CERSEI,And I intend to stay amongst the living. Let the Stark boy and his new queen defend the North. We stay here where we've always been.,"['intend', 'stay', 'amongst', 'live', 'let', 'stark', 'boy', 'new', 'queen', 'defend', 'north', 'stay', 'weve', 'alway']"
JAIME,I made a promise.,"['made', 'promis']"
CERSEI,Our child will rule Westeros.,"['child', 'rule', 'westero']"
JAIME,Our child will never be born if the dead come south.,"['child', 'never', 'born', 'dead', 'come', 'south']"
CERSEI,"The monsters are real. The white walkers, the dragons, the Dothraki screamers all the frightening stories we heard when we were young, they're all real. So be it. Let the monsters kill each other. And while they battle in the North, we take back the lands that belong to us.","['monster', 'real', 'white', 'walker', 'dragon', 'dothraki', 'screamer', 'frighten', 'stori', 'heard', 'young', 'theyr', 'real', 'let', 'monster', 'kill', 'battl', 'north', 'take', 'back', 'land', 'belong', 'us']"
JAIME,And then what?,[]
CERSEI,And then we rule.,['rule']
JAIME,"When the fighting in the North is over, someone wins. You understand that, don't you? If the dead win, they march south and kill us all. If the living win, and we've betrayed them, they march south and kill us all!","['fight', 'north', 'someon', 'win', 'understand', 'dont', 'dead', 'win', 'march', 'south', 'kill', 'us', 'live', 'win', 'weve', 'betray', 'march', 'south', 'kill', 'us']"
CERSEI,The Targaryens and the Starks already want to kill us all. Most of them will die in the North.,"['targaryen', 'stark', 'alreadi', 'want', 'kill', 'us', 'die', 'north']"
JAIME,I faced them in the field. We can't beat them. We can't beat their dragons.,"['face', 'field', 'cant', 'beat', 'cant', 'beat', 'dragon']"
CERSEI,How many dragons did you see at the pit?,"['mani', 'dragon', 'see', 'pit']"
JAIME,Two.,['two']
CERSEI,What happened to the third?,"['happen', 'third']"
JAIME,"For all we know, it's guarding her fleet!","['know', 'guard', 'fleet']"
CERSEI,"She came here with her dragons and her Dothraki and her Unsullied. She came here to show us all her power. No, something happened. The dragons are vulnerable.","['came', 'dragon', 'dothraki', 'unsulli', 'came', 'show', 'us', 'power', 'someth', 'happen', 'dragon', 'vulner']"
JAIME,We can't beat the Dothraki. We don't have the numbers. We don't have the support of the other houses!,"['cant', 'beat', 'dothraki', 'dont', 'number', 'dont', 'support', 'hous']"
CERSEI,"No, we have something better. We have the Iron Bank. You should've listened more when Father spoke about the importance of gold. Oh, I know it's boring for you. You just wanted to hunt and ride and fight. But I listened, I learned. Highgarden bought us the most powerful army in Essos the Golden Company. 20,000 men, horses, elephants, I believe.","['someth', 'better', 'iron', 'bank', 'shouldv', 'listen', 'father', 'spoke', 'import', 'gold', 'oh', 'know', 'bore', 'want', 'hunt', 'ride', 'fight', 'listen', 'learn', 'highgarden', 'bought', 'us', 'power', 'armi', 'esso', 'golden', 'compani', '20000', 'men', 'hors', 'eleph', 'believ']"
JAIME,The Golden Company is not here. They're in Essos. How is a mercenary company in Essos going to help us?,"['golden', 'compani', 'theyr', 'esso', 'mercenari', 'compani', 'esso', 'go', 'help', 'us']"
CERSEI,Do you really think Euron Greyjoy turned tail and sailed back to the Iron Islands? Do you think he abandoned the chance to marry the queen? No one walks away from me. He's sailing with his fleet to Essos. He's going to ferry the Golden Company back here to help us win the war for Westeros.,"['realli', 'think', 'euron', 'greyjoy', 'turn', 'tail', 'sail', 'back', 'iron', 'island', 'think', 'abandon', 'chanc', 'marri', 'queen', 'one', 'walk', 'away', 'he', 'sail', 'fleet', 'esso', 'he', 'go', 'ferri', 'golden', 'compani', 'back', 'help', 'us', 'win', 'war', 'westero']"
JAIME,"You plotted with Euron Greyjoy without telling me, the commander of your armies?","['plot', 'euron', 'greyjoy', 'without', 'tell', 'command', 'armi']"
CERSEI,"And you conspired with Tyrion, the man who murdered our father, without telling me, your queen.","['conspir', 'tyrion', 'man', 'murder', 'father', 'without', 'tell', 'queen']"
JAIME,I didn't conspire with him.,"['didnt', 'conspir']"
CERSEI,You met with him in secret without my consent. You planned to promote my enemies' interests. That is the definition of conspiracy.,"['met', 'secret', 'without', 'consent', 'plan', 'promot', 'enemi', 'interest', 'definit', 'conspiraci']"
JAIME,I pledged to ride north. I intend to honor that pledge.,"['pledg', 'ride', 'north', 'intend', 'honor', 'pledg']"
CERSEI,And that will be treason.,['treason']
JAIME,Treason?,['treason']
CERSEI,"Disobeying your queen's command, fighting with her enemies. What would you call it?","['disobey', 'queen', 'command', 'fight', 'enemi', 'would', 'call']"
JAIME,Doesn't matter what I'd call it.,"['doesnt', 'matter', 'id', 'call']"
CERSEI,I told you no one walks away from me.,"['told', 'one', 'walk', 'away']"
JAIME,"Are you going to order him to kill me? I'm the only one you have left. Our children are gone, our father is gone. It's just me and you now.","['go', 'order', 'kill', 'im', 'one', 'left', 'children', 'gone', 'father', 'gone']"
CERSEI,There's one more yet to come.,"['there', 'one', 'yet', 'come']"
JAIME,"Give the order, then. I don't believe you.","['give', 'order', 'dont', 'believ']"
SOUND EFFECT,(CHATTER) - (KNOCKING ON DOOR) -,"['chatter', 'knock', 'door']"
BRAN,Come in. Samwell Tarly.,"['come', 'samwel', 'tarli']"
SAMWELL,I wasn't sure if you'd remember me.,"['wasnt', 'sure', 'youd', 'rememb']"
BRAN,I remember everything.,"['rememb', 'everyth']"
SOUND EFFECT,(DOOR CLOSES),"['door', 'close']"
BRAN,You helped us get beyond the Wall. You're a good man.,"['help', 'us', 'get', 'beyond', 'wall', 'your', 'good', 'man']"
SAMWELL,"Oh, well, thank you, but, um, I'm not sure that I am. What happened to you beyond the Wall?","['oh', 'well', 'thank', 'um', 'im', 'sure', 'happen', 'beyond', 'wall']"
BRAN,I became the Three-Eyed Raven.,"['becam', 'threeey', 'raven']"
SAMWELL,Oh! I don't know what that means.,"['oh', 'dont', 'know', 'mean']"
BRAN,I can see things that happened in the past. I can see things happening now all over the world. Why did you come to Winterfell?,"['see', 'thing', 'happen', 'past', 'see', 'thing', 'happen', 'world', 'come', 'winterfel']"
SAMWELL,"Um Jon's the one to lead the fight against the dead. I know he is. But he can't do it alone, so I've come here to help him.","['um', 'jon', 'one', 'lead', 'fight', 'dead', 'know', 'cant', 'alon', 'ive', 'come', 'help']"
BRAN,He's on his way back to Winterfell with Daenerys Targaryen.,"['he', 'way', 'back', 'winterfel', 'daeneri', 'targaryen']"
SAMWELL,You you saw this in in a vision? Oh.,"['saw', 'vision', 'oh']"
BRAN,He needs to know the truth.,"['need', 'know', 'truth']"
SAMWELL,The truth about what?,['truth']
Speaker,Line,['line']
BRAN,"About himself. No one knows. No one but me. Jon isn't really my father's son. He's the son of Rhaegar Targaryen and my aunt, Lyanna Stark. He was born in a tower in Dorne. His last name isn't really Snow, it's Sand.","['one', 'know', 'one', 'jon', 'isnt', 'realli', 'father', 'son', 'he', 'son', 'rhaegar', 'targaryen', 'aunt', 'lyanna', 'stark', 'born', 'tower', 'dorn', 'last', 'name', 'isnt', 'realli', 'snow', 'sand']"
SAMWELL,It's not.,[]
BRAN,Dornish bastards are named Sand.,"['dornish', 'bastard', 'name', 'sand']"
SAMWELL,"At the Citadel, I transcribed a High Septon's diary. He annulled Rhaegar's marriage to Elia. He wed Rhaegar and Lyanna in a secret ceremony.","['citadel', 'transcrib', 'high', 'septon', 'diari', 'annul', 'rhaegar', 'marriag', 'elia', 'wed', 'rhaegar', 'lyanna', 'secret', 'ceremoni']"
BRAN,Are you certain?,['certain']
SAMWELL,It's what the High Septon wrote in his private diary. I don't know why he'd lie. Is this something you can see?,"['high', 'septon', 'wrote', 'privat', 'diari', 'dont', 'know', 'hed', 'lie', 'someth', 'see']"
Rhaegar and Lyanna,"Father, Smith, Warrior, Mother, Maiden, Crone, Stranger. - I am hers and she is mine - I am his and he is mine from this day until the end of my days.","['father', 'smith', 'warrior', 'mother', 'maiden', 'crone', 'stranger', 'mine', 'mine', 'day', 'end', 'day']"
BRAN,Robert's Rebellion was built on a lie. Rhaegar didn't kidnap my aunt or rape her. He loved her. And she loved him.,"['robert', 'rebellion', 'built', 'lie', 'rhaegar', 'didnt', 'kidnap', 'aunt', 'rape', 'love', 'love']"
BRAN,And Jon - (BABY CRYING) Jon's real name,"['jon', 'babi', 'cri', 'jon', 'real', 'name']"
LYANNA,"His name is Aegon Targaryen. You have to protect him. Promise me, Ned.","['name', 'aegon', 'targaryen', 'protect', 'promis', 'ned']"
SOUND EFFECT,(PANTING),['pant']
BRAN,He's never been a bastard. He's the heir to the Iron Throne. He needs to know. We need to tell him.,"['he', 'never', 'bastard', 'he', 'heir', 'iron', 'throne', 'need', 'know', 'need', 'tell']"
ARYA,Are you all right?,['right']
SANSA,"It's just strange. In his own horrible way, I believe he loved me.","['strang', 'horribl', 'way', 'believ', 'love']"
ARYA,You did the right thing.,"['right', 'thing']"
SANSA,You did it.,[]
ARYA,I'm just the executioner. You passed the sentence. You're the Lady of Winterfell.,"['im', 'execution', 'pass', 'sentenc', 'your', 'ladi', 'winterfel']"
SANSA,Does that bother you?,['bother']
ARYA,I was never going to be as good a lady as you. So I had to be something else. I never could have survived what you survived.,"['never', 'go', 'good', 'ladi', 'someth', 'els', 'never', 'could', 'surviv', 'surviv']"
SANSA,You would have. You're the strongest person I know.,"['would', 'your', 'strongest', 'person', 'know']"
ARYA,I believe that's the nicest thing you've ever said to me.,"['believ', 'that', 'nicest', 'thing', 'youv', 'ever', 'said']"
SANSA,"Well, don't get used to it. You're still very strange and annoying.","['well', 'dont', 'get', 'use', 'your', 'still', 'strang', 'annoy']"
ARYA,"In winter, we must protect ourselves. Look after one another.","['winter', 'must', 'protect', 'look', 'one', 'anoth']"
SANSA,"Father. ""When the snows fall and the white winds blow, the lone wolf dies, but the pack survives.""","['father', 'snow', 'fall', 'white', 'wind', 'blow', 'lone', 'wolf', 'die', 'pack', 'surviv']"
ARYA,I miss him.,['miss']
SANSA,"Me, too.",[]
SOUND EFFECT,(BIRDS CAWING) (CHATTER),"['bird', 'caw', 'chatter']"
BERIC,It's a long way down.,"['long', 'way']"
TORMUND,Yeah. The crows keep telling me I'll get used to it.,"['yeah', 'crow', 'keep', 'tell', 'ill', 'get', 'use']"
MAN,"I can see movement Watch, on the tree line!","['see', 'movement', 'watch', 'tree', 'line']"
MAN #2,What is it? (RUMBLING) (HORN BLARES) (HORN BLARES) (HORN BLARES) (DRAGON SCREECHING) (GASPS) (DRAGON SCREECHING) (SCREECHING),"['rumbl', 'horn', 'blare', 'horn', 'blare', 'horn', 'blare', 'dragon', 'screech', 'gasp', 'dragon', 'screech', 'screech']"
TORMUND,Come on! - Run! Run! -,"['come', 'run', 'run']"
SOUND EFFECT,"(MEN SHOUTING) (MEN SHOUTING) (GRUNTS, PANTING) (MEN SCREAMING) (SCREAMING) (ALL SHOUTING) (SCREAMING) (ROARS) (ROARS) (MUSIC PLAYING)","['men', 'shout', 'men', 'shout', 'grunt', 'pant', 'men', 'scream', 'scream', 'shout', 'scream', 'roar', 'roar', 'music', 'play']"
